#
#    File: Junk
#    Info: Surveys, Personally Untrusted Software, Search Engines, etc
# Domains: 217
# Updated: 9/7/2023  00:10 (12:10 AM CST)
# Creator: ShadowWhisperer (Sean H.)
#
#    Curl: curl -s https://raw.githubusercontent.com/ShadowWhisperer/BlockLists/master/Lists/Junk
#     Git: git clone https://github.com/ShadowWhisperer/BlockLists.git
#    Wget: wget https://codeload.github.com/ShadowWhisperer/BlockLists/zip/master
#

xtgem.com                                      #Website Builder
zohosites.com                                  #Website Builder

chatovod.ru                                    #Website Plugin - Multi-user Chat

lycos.com                                      #Search Engine - Links to malware

sogou.com                                      #Search Engine [China]
soso.com                                       #Search Engine [China]
so.com                                         #Search Engine [French]
gncia.fr                                       #Search Engine [French]
francite.com                                   #Search Engine [French]
lilo.org                                       #Search Engine [French]
uselilo.org                                    #Search Engine [French]
yandex.net                                     #Search Engine [Russian]
naver.com                                      #Search Engine [South Korea]
ask-tb.com                                     #Search Engine   Ask (Toolbar
ask.com                                        #Search Engine   Ask
search.comodo.com                              #Search Engine   Comodo
search.com                                     #Search Engine   CBS
cliqz.com                                      #Search Engine   Cliqz
search.juno.com                                #Search Engine   Juno
search.yahoo.com                               #Search Engine   Yahoo
search.yahoo.net                               #Search Engine   Yahoo
copernicus-software.stores.yahoo.net           #Search Engine   Yahoo

hi5.com                                        #Social Media (Contains Adult Sites)

mediaconverteronline.com                       #Video Converter

downloadaccelerator.com                        #Video Downloader
savetubevideo.com                              #Video Downloader
snappea.com                                    #Video Downloader

areyourinlove.com                              #Enter Phone Number for answer

emojirequest.com                               #Sign in with facebook to recieve
